product_parent_option_id,product_id,option_name
735,245,꼭 읽어주세요ღ
736,246,향기(디자인)
737,246,유리병속 플라워
738,246,조화
739,247,무드등/USB어댑터
740,247,선물포장/쇼핑백
741,247,라탄코스터/매트
742,248,뚜껑 레터링
743,248,종이가방
744,248,우체국택배/방문수령
745,249,꽃추가_해바라기
746,249,꽃추가_장미
747,249,꽃추가_데이지
748,250,와이어 20구 전구
749,250,컬러
750,250,이니셜각인
751,251,차량번호각인
752,251,추가상품
753,251,별자리
754,252,별자리 color
755,252,색상
756,252,손목끈
757,253,컬러
758,253,사이즈
759,253,수납 타입
760,254,이니셜문구
761,254,스트랩손잡이
762,254,카드지갑세트구매
763,255,종류
764,255,색상
765,255,선물용
766,256,꽃 종류
767,256,메뉴
768,256,우동사리 추가
769,257,떡사리 추가
770,257,양념장 추가
771,257,인원수(동물포함)
772,258,피부 및 포인트
773,258,배경
774,258,채색
775,259,추가1
776,259,추가2
777,259,공지사항
778,260,배송
779,260,체크칼라
780,260,공지사항
781,261,컬러
782,261,컬러
783,261,선물포장
784,262,송이수/컬러
785,262,꽃다발전용삼각쇼핑백
786,262,하트+이니셜 추가
787,263,핸드폰기종
788,263,스트랩 방향
789,263,이니셜
790,264,데이지컬러
791,264,필독사항확인
792,264,선물 포장
793,265,작가 이벤트
794,265,휴대세트
795,265,큐브양갱
796,266,소품추가금
797,266,인형갯수추가금
798,266,컬러
799,267,Size
800,267,Notice2
801,267,Notice3
802,268,Notice4
803,268,Notice5
804,268,사이즈
805,269,색상
806,269,컬러
807,269,시계 앞면 각인
808,270,커플시계 구매 유무
809,270,시계 뒷면 각인
810,270,호수
811,271,유화처리
812,271,1. 앨범 색상
813,271,2. 사진 인화
814,272,편지지 추가
815,272,선물포장용 리본
816,272,후기이벤트
817,273,수량
818,273,선물상자
819,273,상품선택
820,274,브로치/마그넷
821,274,사이즈
822,274,사이즈
823,275,공지사항
824,275,기념숫자
825,275,선택 옵션
826,276,문구변경
827,276,보리 종류 선택
828,276,차슈 선택
829,277,계란 선택
830,277,(세척)숙주나물
831,277,1단계-종류
832,278,2단계-형태
833,278,3단계-옵션추가
834,278,수량
835,279,향선택1 [1+1]
836,279,향선택2 [1+1]
837,279,14종 시향세트
838,280,쇼핑백
839,280,디자인
840,280,선물포장
841,281,과일청
842,281,선물박스
843,281,이니셜 서체
844,282,각인
845,282,선물 포장
846,282,종류
847,283,사이즈
848,283,색상
849,283,가방끈
850,284,박스포장
851,284,박스
852,284,곰돌이 선택
853,285,하트용기 포장 추가
854,285,미니트리 추가
855,285,쇼핑백 추가
856,286,선택
857,286,추가 구매
858,286,배송료
859,287,해외배송
860,287,공지사항필독
861,287,각인선택
862,288,폰트
863,288,사이즈선택
864,288,레터링
865,289,테드곰인형추가
866,289,해피버스데이머리띠
867,289,레터링내용
868,290,인원추가(반려동물)
869,290,Notice2
870,290,Notice3
871,291,Notice4
872,291,Notice5
873,291,가죽 색상 선택
874,292,각인 서체 선택
875,292,구성 선택
876,292,드롭 장식
877,293,시계알 디자인
878,293,가죽밴드 색상
879,293,빈티지 스탬핑
880,294,선물포장
881,294,이니셜 불박각인
882,294,색상 선택
883,295,이니셜 추가
884,295,포장 선택
885,295,잼 종류
886,296,선물포장
887,296,Size(유럽)
888,296,Notice1
889,297,Notice3
890,297,Notice4
891,297,Notice5
892,298,Notice6
893,298,색상
894,298,고리
895,299,옵션
896,299,옵션1
897,299,선물박스포장
898,300,컬러
899,300,꽃선택
900,300,color
901,301,비누선택
902,301,버블망
903,301,포장
904,302,컬러및포장
905,302,쇼핑백선택
906,302,송이추가
907,303,화병
908,303,블룸향기디퓨저
909,303,크기/가로세로두께합
910,304,사이즈
911,304,❤컬러❤
912,304,❤사이즈❤
913,305,❤폰트(사진참고)❤
914,305,에어팟 색상
915,305,키링
916,306,이니셜 각인
917,306,LED홀
918,306,스트랩
919,307,색상
920,307,사이즈
921,307,포장 선택
922,308,메뉴선택
923,308,연못의 크기
924,308,연못의 빛
925,309,인물 추가
926,309,장신구
927,309,토퍼스타일&글자수
928,310,글자체
929,310,기본색상
930,310,포인트색상
931,311,출고일확인!!!
932,311,색상
933,311,손잡이
934,312,안주머니
935,312,크로스끈
936,312,색상
937,313,추가
938,313,딸기크기선택
939,313,사이즈
940,314,사리
941,314,꽃송이
942,314,포장지
943,315,LED
944,315,쇼핑백
945,315,카드엽서
946,316,구성품
947,316,컬러
948,316,선물포장
949,317,(무료)이니셜 각인
950,317,쇼핑백
951,317,컬러
952,318,사이즈
953,318,똑딱이
954,318,기종
955,319,군번줄
956,319,색상
957,319,컬러
958,320,포토포켓(디자인)
959,320,포토포켓 컬러
960,320,포토포켓 부착방항
961,321,이니셜각인
962,321,키링
963,321,케이스
964,322,제품
965,322,컬러
966,322,포장
967,323,전신 / 상반신
968,323,인원수 추가
969,323,반려동물
970,324,포트폴리오
971,324,상업적 이용
972,324,스톤
973,325,호수
974,325,오픈/일반
975,325,종이가방추가
976,326,컬러
977,326,선물포장
978,326,색상
979,327,선물포장
980,327,구성
981,327,용지 색상
982,328,첨부사항
983,328,얼굴 디자인 옵션
984,328,문구꼭남겨주세요.
985,329,손가락하트토퍼
986,329,집게핀 컬러선택
987,329,큐빅 여부
988,330,선물포장
989,330,사이즈
990,330,별자리
991,331,사이즈
992,331,"거치대,관리용품"
993,331,핸드폰 기종
994,332,케이스 색상
995,332,추가할인 선택옵션!
996,332,반지스타일
997,333,반지 사이즈
998,333,공지사항
999,333,옵션1
1000,334,발송일
1001,334,향수종류선택
1002,334,향선택1
1003,335,향선택2
1004,335,번호판선택
1005,335,색상
1006,336,옵션1
1007,336,다이아몬드로 변경
1008,336,여자 사이즈
1009,337,남자 사이즈
1010,337,색상
1011,337,컬러
1012,338,꽃종류
1013,338,서체선택
1014,338,문장으로변경
1015,339,리필심 추가
1016,339,옵션1
1017,339,금귤바닐라잼
1018,340,한 그림에 인원 수
1019,340,반려동물 추가 수
1020,340,사진 속 소품
1021,341,우드 액자
1022,341,캔버스 액자
1023,341,핸드폰 배경화면
1024,342,기본사이즈
1025,342,큰 사이즈
1026,342,디자인
1027,343,스크런치
1028,343,색상
1029,343,선물포장
1030,344,키링 또는그립톡
1031,344,색상(요청란기재)
1032,344,문구
1033,345,타입1
1034,345,타입2
1035,345,모양
1036,346,컬러1
1037,346,컬러2
1038,346,문구추가
1039,347,애플워치 사이즈
1040,347,손목 사이즈
1041,347,가죽 색상
1042,348,아답터 색상
1043,348,버클 색상
1044,348,가죽
1045,349,색상
1046,349,사이즈
1047,349,각인
1048,350,패브릭
1049,350,사이즈
1050,350,스트랩
1051,351,안감핸들
1052,351,같은 티코스터 1개
1053,351,주문요청사항필수기재
1054,352,파스텔꼬불초 추가
1055,352,톳밥2개이상주문
1056,352,맛간장
1057,353,아이스팩/기본2개
1058,353,선물포장
1059,353,구성
1060,354,포장
1061,354,레터링
1062,354,LED
1063,355,옵션1
1064,355,옵션2
1065,355,색상
1066,356,옵션1
1067,356,공룡 선택
1068,356,5+1
1069,357,수량
1070,357,선물포장
1071,357,수제청 용량
1072,358,선물상자 유/무
1073,358,가죽키홀더
1074,358,네임택
1075,359,작은하트(단품)
1076,359,큰하트(단품)
1077,359,더블(큰하트추가)
1078,360,더블(작은하트추가)
1079,360,반지디자인
1080,360,반지 컬러
1081,361,향
1082,361,키링종류
1083,361,컬러
1084,362,기종
1085,362,선택
1086,362,배송
1087,363,색상 선택
1088,363,구성품 선택
1089,363,기기 종류
1090,364,병아리 색상
1091,364,확인해주세요
1092,364,제품선택
1093,365,프레임칼라
1094,365,시계다이알 이니셜
1095,365,시계박스 인쇄
1096,366,포장
1097,366,공지사항
1098,366,페인트 컬러
1099,367,반지 컬러
1100,367,해외배송
1101,367,공지사항필독
1102,368,상단디자인
1103,368,세로길이선택
1104,368,화이트 슬림 압축봉
1105,369,팁모양
1106,369,사이즈
1107,369,양면테이프&글루
1108,370,무광&유광
1109,370,후기약속
1110,370,케이스 기종선택
1111,371,옵션1
1112,371,옵션2
1113,371,옵션3
1114,372,컬러선택
1115,372,타입선택
1116,372,포장선택
1117,373,선물 포장
1118,373,상품선택
1119,373,생면
1120,374,쇼핑백
1121,374,색상
1122,374,사이즈
1123,375,발송예정일
1124,375,이니셜
1125,375,선물포장
1126,376,색상
1127,376,금속부자재
1128,376,작품 선택
1129,377,뚜껑선택
1130,377,선물포장선택
1131,377,쉐입
1132,378,컬러
1133,378,추가상품1
1134,378,추가상품2
1135,379,구성
1136,379,원석
1137,379,피어싱 볼
1138,380,인원수
1139,380,후기
1140,380,옵션1
1141,381,[샤쉐향]
1142,381,[리필]
1143,381,[쇼핑백]
1144,382,[선물포장]
1145,382,컬러
1146,382,문구
1147,383,고리
1148,383,COLOR
1149,383,색상
1150,384,가방 끈
1151,384,카드홀더
1152,384,고리 추가
1153,385,키링고리
1154,385,충전구멍
1155,385,식빵추가
1156,386,기종선택
1157,386,원석골라주세용
1158,386,꼬리체인
1159,387,초승달팬던트
1160,387,팬던트만구입할래요
1161,387,향
1162,388,심지선택
1163,388,추가구성
1164,388,선물포장
1165,389,비누망
1166,389,수량
1167,389,기장추가
1168,390,탄생월
1169,390,애플워치 사이즈
1170,390,제품 폭 사이즈
1171,391,손목둘레 사이즈
1172,391,헤어곱창밴드
1173,391,그람수
1174,392,트러플소금
1175,392,디자인
1176,392,반려동물 수
1177,393,반려동물 이름
1178,393,피크닉세트
1179,393,같이주문해요
1180,394,포장유무
1181,394,사이즈
1182,394,폼폼이열쇠고리 선택
1183,395,외부색상
1184,395,"내부수납칸,이니셜"
1185,395,선물 포장할래요?
1186,396,이니셜 추가하신분은
1187,396,본체선택
1188,396,키링
1189,397,키링고리
1190,397,충전구멍
1191,397,겔스티커
1192,398,포장
1193,398,사이즈
1194,398,선물 포장
1195,399,색상
1196,399,실리콘뚜껑
1197,399,사이즈
1198,400,컬러
1199,400,사이즈
1200,400,머리숱
1201,401,교체용 밴드 증정
1202,401,선물포장
1203,401,밴드 교체시 준비물
1204,402,색상
1205,402,색상
1206,402,선물포장
1207,403,컬러
1208,403,컬러
1209,403,사이즈
1210,404,굽높이
1211,404,발볼넓힘
1212,404,색상
1213,405,공지사항
1214,405,색상
1215,405,선물 포장
1216,406,배경 선택
1217,406,당일 제작
1218,406,컬러선택
1219,407,레터링 추가
1220,407,종류
1221,407,향
1222,408,포장
1223,408,주의사항
1224,408,거울
1225,409,레터링 위치
1226,409,패키지 포장
1227,409,색상
1228,410,사이즈
1229,410,슬라임문구선택
1230,410,색상
1231,411,이니셜각인
1232,411,포장
1233,411,소스
1234,412,발송안내
1235,412,색상
1236,412,상품선택
1237,413,COLOR
1238,413,인원수
1239,413,소품
1240,414,후기이벤트
1241,414,작가좋아요즐찾?
