review_id,order_detail_id,user_id,product_id,review_content,review_date,review_rate
127,127,3131,13,맛있어요! 배송도 빠르고 대만족입니다♥,2021-02-14,50
128,128,3132,13,"2개 주문한줄 알았는데 3개 주문했더라고요 ㅎㅎ
근데 너무 맛있어서 금방 먹네요",2021-02-13,50
129,129,3133,13,"너무 연했습니다
예가체프 향도 거의없고 
너무 향, 맛 다 연해서 원액을 몇번이나 더 넣은건지..
혹시 그냥 마시는제품인가요?",2021-02-13,20
130,130,3134,13,,2021-02-11,50
131,131,3135,14,맛있어요 요거트 우유 다 잘어울려요,2021-02-18,50
132,132,3136,14,선물한 지인이 우유에 타서 먹었는데 달콤하니 맛있다고 전해왔어요~ 포장이 있어보이네요^^,2021-02-18,50
133,133,3137,14,"딸기 추가했는데 과육이 많아서 맛 기대되네용
서비스도 감사합니다!",2021-02-18,50
134,134,3138,14,"딸기청 두개 샀는데 하나는 바로 선물로 드려서 사진에 없네영 ㅠ_ㅠ
가격에 비해 양도 많구용♥_♥
요런 가격에 양파즙 사과즙 다 챙겨주시면 남는게 뭐에요..사장님 ..♥

저는 딸기청이 있는 겨울이 넘넘넘 좋아용♥

일하면서 한잔씩 타마시면 행복해져옹 ㅎㅎ
아쥬 달고 맛있네요 ㅎㅎㅎ
많이 파세용~~",2021-02-18,50
135,135,3139,14,배송이 완전 빠르고 딸기청도 달달하니 맛있어요!❤️ 시럽같은게 아니고 알갱이가 씹혀서 더 맛있어요!!!!!!🍓,2021-02-18,50
136,136,3140,14,포장도 너무 잘 돼서 왔고 진짜 너무너무 맛있어요!! 딸기 알맹이가 생각보다 컸는데 그래서 딸기라떼가 더 맛있었어요! 너무 금방 먹을 것 같아서 벌써 아쉽네요ㅠㅠ 부모님도 너무 맛있다며 드세요 ~~,2021-02-17,50
137,137,3141,14,너무 잘 받았습니다~~ 받자마자 우유에 타서 먹었는데~~대박~~너무 맛나게 먹었어요,2021-02-17,50
138,138,3142,14,"아이랑 함께
매일 잘 먹고있어요.
딸기우유♡",2021-02-17,50
139,139,3143,14,"와.. 이거 맛이 상상을 초월하네요 ㅋㅋ
혹시 우유에 타 먹는 방법 말고 다른 방법도 있나요?!",2021-02-17,50
140,140,3144,14,"어제 택배 잘왓다고  톡 왓어요

엘베가 고장나가지고 직접 가져가야대는 수고가 일어낫지만 ㅠㅠ  저희동생 선물 잘 받앗다니 
만족 만족 동생 시엄니도 맛나게 드셧 답니다 ᆢ ",2021-02-17,50
141,141,3145,15,"크기가 크다는 후기가 많아서 뭐 얼마나 크길래... 햇는데 정말 크네요
하루에 하나씩만 먹으려고... 많이 샀어요
마카롱 오랜만에 먹는데 맛있네요 다음에 또 주문하려구여~",2021-02-18,50
